ID,sex,age,region,politica,region_custom,age_gen,z1,z2
10842,Masculino,48,Metropolitana de Santiago,6,Capital City,Generation X,0.81211835,0.29301092
10843,Femenino,46,Metropolitana de Santiago,7,Capital City,Generation X,0.8700054,0.27184466
10844,Masculino,47,Metropolitana de Santiago,6,Capital City,Generation X,0.3828645,0.5004991
10845,Masculino,34,Metropolitana de Santiago,2,Capital City,Millennial,0.22891763,0.6350921
10846,Masculino,28,Metropolitana de Santiago,8,Capital City,Millennial,0.66860944,0.21810728
10847,Masculino,58,Metropolitana de Santiago,3,Capital City,Baby Boomer,0.5927818,0.32115868
10848,Masculino,36,Biobío,10,Region,Millennial,0.864053,0.34463286
10849,Masculino,32,Metropolitana de Santiago,0,Capital City,Millennial,0.40692693,0.22287886
10850,Masculino,37,Metropolitana de Santiago,8,Capital City,Millennial,0.7544822,0.26918766
10851,Masculino,40,Maule,3,Region,Generation X,0.36757255,0.276245
10852,Masculino,38,Valparaíso,0,Region,Millennial,0.60129404,0.43223435
10853,Masculino,55,Metropolitana de Santiago,6,Capital City,Baby Boomer,0.7538876,0.25680578
10854,Femenino,35,Valparaíso,7,Region,Millennial,0.3486044,0.345122
10855,Masculino,25,Metropolitana de Santiago,7,Capital City,Generation Z,0.6935596,0.31789503
10856,Femenino,55,Metropolitana de Santiago,7,Capital City,Baby Boomer,0.80382246,0.27527428
10858,Masculino,31,Metropolitana de Santiago,6,Capital City,Millennial,0.51451707,0.6322533
10859,Masculino,40,Araucanía,7,Region,Generation X,0.42270976,0.2795565
10860,Masculino,30,Metropolitana de Santiago,3,Capital City,Millennial,0.27705523,0.2851357
10861,Masculino,33,Metropolitana de Santiago,6,Capital City,Millennial,0.49136853,0.1612962
10862,Masculino,32,Metropolitana de Santiago,7,Capital City,Millennial,0.58597845,0.48712248
10863,Masculino,33,Metropolitana de Santiago,4,Capital City,Millennial,0.57795006,0.48338556
10864,Masculino,31,Metropolitana de Santiago,7,Capital City,Millennial,0.7606206,0.26249886
10865,Femenino,67,Valparaíso,0,Region,Baby Boomer,0.2878668,0.19785947
10866,Femenino,49,O'Higgins,3,Region,Generation X,0.5368085,0.28012285
10867,Femenino,55,Los Lagos,2,Region,Baby Boomer,0.29714093,0.28974128
10868,Masculino,38,Metropolitana de Santiago,7,Capital City,Millennial,0.8194542,0.22170477
10869,Masculino,43,Metropolitana de Santiago,3,Capital City,Generation X,0.41022572,0.28840226
10870,Masculino,35,Valparaíso,8,Region,Millennial,0.5852622,0.24858578
10871,Femenino,37,Metropolitana de Santiago,7,Capital City,Millennial,0.5228961,0.27535495
